z_m,T_he_K,T_sec_K,T_wall_he_K,T_wall_mid_K,T_wall_sec_K,q_pp_W_m2
1.096445646169727972e+01,6.274477984288587322e+02,6.156378718145633684e+02,6.162753895644291333e+02,6.161267329895413241e+02,6.159780764146535148e+02,2.378505198205287343e+03
1.110872562566698107e+01,6.250004847695632861e+02,6.132721352772445016e+02,6.139052493703439950e+02,6.137576196414254355e+02,6.136099899125069896e+02,2.362075662695650863e+03
1.125299478963668243e+01,6.225700759405364124e+02,6.109227400758518343e+02,6.115514809304644359e+02,6.114048709545720612e+02,6.112582609786798002e+02,2.345759614277514174e+03
1.139726395360638200e+01,6.201564551715858897e+02,6.085895733325329502e+02,6.092139711568233906e+02,6.090683738900085018e+02,6.089227766231936130e+02,2.329556269038275786e+03
1.154153311757608336e+01,6.177595064991101026e+02,6.062725229491396703e+02,6.068926077426098118e+02,6.067480161895798574e+02,6.066034246365497893e+02,2.313464848480211913e+03
1.168580228154578471e+01,6.153791147605268179e+02,6.039714776018425937e+02,6.045872791567722970e+02,6.044436863705545875e+02,6.043000935843368779e+02,2.297484579483078051e+03
1.183007144551548606e+01,6.130151655887392508e+02,6.016863267357812219e+02,6.022978746386604598e+02,6.021552737202687240e+02,6.020126728018771018e+02,2.281614694266959305e+03
1.197434060948518741e+01,6.106675454066423754e+02,5.994169605597542159e+02,6.000242841927038171e+02,5.998826682908065777e+02,5.997410523889093383e+02,2.265854430355384011e+03
1.211860977345488877e+01,6.083361414216656158e+02,5.971632700409434165e+02,5.977663985831271702e+02,5.976257608937185068e+02,5.974851232043098435e+02,2.250203030538692019e+03
1.226287893742458834e+01,6.060208416203531669e+02,5.949251468996747008e+02,5.955241093287013427e+02,5.953844430947740420e+02,5.952447768608466276e+02,2.234659742837650356e+03
1.240714810139428970e+01,6.037215347629828557e+02,5.927024836042166953e+02,5.932973086975317756e+02,5.931586072087525281e+02,5.930199057199733943e+02,2.219223820467327187e+03
1.255141726536399105e+01,6.014381103782213813e+02,5.904951733656139368e+02,5.910858897018828202e+02,5.909481462942702592e+02,5.908104028866576982e+02,2.203894521801210431e+03
1.269568642933369240e+01,5.991704587578170731e+02,5.883031101325564123e+02,5.888897460930370471e+02,5.887529541486410380e+02,5.886161622042451427e+02,2.188671110335577396e+03
1.283995559330339375e+01,5.969184709513277767e+02,5.861261885862834333e+02,5.867087723561902521e+02,5.865729253027743653e+02,5.864370782493584784e+02,2.173552854654106795e+03
1.298422475727309511e+01,5.946820387608875080e+02,5.839643041355245714e+02,5.845428637053823877e+02,5.844079550161078487e+02,5.842730463268333096e+02,2.158539028392739510e+03
1.312849392124279468e+01,5.924610547360075543e+02,5.818173529114739040e+02,5.823919160784630549e+02,5.822579392715751965e+02,5.821239624646874518e+02,2.143628910204781278e+03
1.327276308521249604e+01,5.902554121684137272e+02,5.796852317627998445e+02,5.802558261320913289e+02,5.801227747706084301e+02,5.799897234091255314e+02,2.128821783726240028e+03
1.341703224918219739e+01,5.880650050869197685e+02,5.775678382506890784e+02,5.781344912367710549e+02,5.780023589281747718e+02,5.778702266195783750e+02,2.114116937541413336e+03
1.356130141315189874e+01,5.858897282523359991e+02,5.754650706439247188e+02,5.760278094719196815e+02,5.758965898678478652e+02,5.757653702637760489e+02,2.099513665148706423e+03
1.370557057712160010e+01,5.837294771524127555e+02,5.733768279139989090e+02,5.739356796209717686e+02,5.738053664169137846e+02,5.736750532128559144e+02,2.085011264926686636e+03
1.384983974109130145e+01,5.815841479968194108e+02,5.713030097302587365e+02,5.718580011665155780e+02,5.717285881015093310e+02,5.715991750365030839e+02,2.070609040100373477e+03
1.399410890506100102e+01,5.794536377121576152e+02,5.692435164550856825e+02,5.697946742854642252e+02,5.696661551417950022e+02,5.695376359981257792e+02,2.056306298707766018e+03
1.413837806903070238e+01,5.773378439370083015e+02,5.671982491391079293e+02,5.677455998442583223e+02,5.676179684471603650e+02,5.674903370500625215e+02,2.042102353566590409e+03
1.428264723300040373e+01,5.752366650170151843e+02,5.651671095164479084e+02,5.657106793941048863e+02,5.655839296114647823e+02,5.654571798288246782e+02,2.027996522241289767e+03
1.442691639697010508e+01,5.731499999999996362e+02,5.631499999999996362e+02,5.636898151662463761e+02,5.635639409083082683e+02,5.634380666503700468e+02,2.013988127010232802e+03
