T_wall_C,p_T2_Pa,mdot_he_kg_s,J_T2_mol_m2_s,J_sieverts_mol_m2_s,p_surf_over_p_bulk,K_eff_mol_m2_s_Pa,Re_tube,Lambda
3.200000000000000000e+02,3.000000000000000000e+01,5.000000000000000000e-01,1.673924026189269399e-10,1.673924337249962308e-10,9.999996283456105139e-01,1.501326746175106700e-05,1.712844980497409097e+03,1.301411761758213059e-07
3.200000000000000000e+02,3.000000000000000000e+01,1.000000000000000000e+00,1.673924124607004906e-10,1.673924337249962308e-10,9.999997459348204387e-01,2.196187250076015991e-05,3.425689960994818193e+03,1.301411761758213059e-07
3.200000000000000000e+02,3.000000000000000000e+01,2.000000000000000000e+00,1.673924271013325865e-10,1.673924337249962308e-10,9.999999208606583645e-01,7.050535742097991483e-05,6.851379921989636387e+03,1.301411761758213059e-07
3.200000000000000000e+02,1.000000000000000000e+02,1.000000000000000056e-01,3.056153419168259940e-10,3.056153730228964739e-10,9.999997964364905068e-01,1.501326746175106700e-05,3.425689960994818080e+02,7.128125785175124572e-08
3.200000000000000000e+02,1.000000000000000000e+02,5.000000000000000000e-01,3.056153419168259940e-10,3.056153730228964739e-10,9.999997964364905068e-01,1.501326746175106700e-05,1.712844980497409097e+03,7.128125785175124572e-08
3.200000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+00,3.056153517586001392e-10,3.056153730228964739e-10,9.999998608427620450e-01,2.196187250076015991e-05,3.425689960994818193e+03,7.128125785175124572e-08
3.200000000000000000e+02,1.000000000000000000e+02,2.000000000000000000e+00,3.056153663992328297e-10,3.056153730228964739e-10,9.999999566535966444e-01,7.050535742097991483e-05,6.851379921989636387e+03,7.128125785175124572e-08
3.400000000000000000e+02,1.000000000000000000e+00,1.000000000000000056e-01,5.509622194553485400e-11,5.509632059209859427e-11,9.999964191265633406e-01,1.538625224465757323e-05,3.350414830612305082e+02,1.125058646878362104e-06
3.400000000000000000e+02,1.000000000000000000e+00,5.000000000000000000e-01,5.509622194553485400e-11,5.509632059209859427e-11,9.999964191265633406e-01,1.538625224465757323e-05,1.675207415306152143e+03,1.125058646878362104e-06
3.400000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00,5.509625119312317896e-11,5.509632059209859427e-11,9.999974808142916283e-01,2.187065884315230878e-05,3.350414830612304286e+03,1.125058646878362104e-06
3.400000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00,5.509629865984053784e-11,5.509632059209859427e-11,9.999992038577728559e-01,6.920409039521724143e-05,6.700829661224608572e+03,1.125058646878362104e-06
3.400000000000000000e+02,3.000000000000000000e+00,1.000000000000000056e-01,9.542952792901708472e-11,9.542962657561812566e-11,9.999979325801934271e-01,1.538625224465757323e-05,3.350414830612305082e+02,6.495529126293384569e-07
3.400000000000000000e+02,3.000000000000000000e+00,5.000000000000000000e-01,9.542952792901708472e-11,9.542962657561812566e-11,9.999979325801934271e-01,1.538625224465757323e-05,1.675207415306152143e+03,6.495529126293384569e-07
3.400000000000000000e+02,3.000000000000000000e+00,1.000000000000000000e+00,9.542955717662425388e-11,9.542962657561812566e-11,9.999985455466791073e-01,2.187065884315230878e-05,3.350414830612304286e+03,6.495529126293384569e-07
3.400000000000000000e+02,3.000000000000000000e+00,2.000000000000000000e+00,9.542960464335823392e-11,9.542962657561812566e-11,9.999995403469935651e-01,6.920409039521724143e-05,6.700829661224608572e+03,6.495529126293384569e-07
3.400000000000000000e+02,1.000000000000000000e+01,1.000000000000000056e-01,1.742297651192443302e-10,1.742298637658684417e-10,9.999988676270066268e-01,1.538625224465757323e-05,3.350414830612305082e+02,3.557747825402709635e-07
3.400000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e-01,1.742297651192443302e-10,1.742298637658684417e-10,9.999988676270066268e-01,1.538625224465757323e-05,1.675207415306152143e+03,3.557747825402709635e-07
